Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00015625,-0.00020296,0.054397,0,0,0,0.47711,0.00059036,3.555E-10,-4.1821E-06,0.00058997,-9.8398E-08,0.00022102,0,0,0,0,0,0,package://single_arm_v11/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://single_arm_v11/meshes/base_link.STL,,組合件1-1/轉接座-2;組合件1-1/轉接座-4;組合件1-1/m1-1;組合件1-1/轉接座-3;組合件1-1/定位塊_側-2;組合件1-1/定位塊_下-1;組合件1-1/定位塊_側-1;組合件1-1/轉接座_底-1;組合件1-1/轉接座-1,座標系統0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,3.4484E-06,-0.00039863,-0.028769,0,0,0,0.38613,0.00047431,7.0827E-08,3.5556E-10,0.00017465,4.1821E-06,0.00048907,0,0,0,0,0,0,package://single_arm_v11/meshes/Link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v11/meshes/Link1.STL,,第一軸_轉軸-1;m2-1;墊背-1;b2-1,座標系統1,axis1,Joint1,revolute,0,0,0.1345,-3.1416,0,-1.5708,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
Link2,0.13947,0.00058219,-0.0074566,0,0,0,0.58825,0.00057122,-1.1203E-06,-3.5733E-06,0.0006232,-8.2912E-08,0.00038379,0,0,0,0,0,0,package://single_arm_v11/meshes/Link2.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v11/meshes/Link2.STL,,軸二左-1;第二軸_上_改-1;軸二右-1;Link1-1;第二軸_轉軸-1;m3-1;墊背-2;b2-2,座標系統2,axis2,Joint2,revolute,0,0.0695,-0.0315,1.5708,1.5708,0,Link1,0,0,1,0,0,-3.14,3.14,,,,,,,,
Link3,0.13622,-0.00047472,0.0063718,0,0,0,0.55444,0.00052289,8.7953E-07,3.5629E-06,0.00057711,-8.2898E-08,0.00036757,0,0,0,0,0,0,package://single_arm_v11/meshes/Link3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v11/meshes/Link3.STL,,軸二左-2;第三軸_上_改-1;軸三左-1;Link2-1;第二軸_轉軸-2;m4-1,座標系統3,axis3,Joint3,revolute,0.214,0,0.0345,0,0,0,Link2,0,0,-1,0,0,-3.14,3.14,,,,,,,,
Link4,4.83814377449931E-15,0.0124471610012715,-0.0319494763505741,0,0,0,0.313854171959485,0.00030905374217572,1.62700962442E-20,2.09983644469817E-19,0.000138417182248756,3.51429818496665E-06,0.000324741574348904,0,0,0,0,0,0,package://single_arm_v11/meshes/Link4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://single_arm_v11/meshes/Link4.STL,,第五軸_轉軸-2;m5-1,座標系統4,axis4,Joint4,revolute,0.214,0,-0.0321,0,0,-1.5708,Link3,0,0,1,0,0,-3.14,3.14,,,,,,,,
Link5,-8.71178129635553E-15,0.0124471610012712,-0.0319494763505744,0,0,0,0.313854171959485,0.00030905374217572,2.20240357597189E-20,1.70643067941476E-20,0.000138417182248756,3.51429818496703E-06,0.000324741574348904,0,0,0,0,0,0,package://single_arm_v11/meshes/Link5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://single_arm_v11/meshes/Link5.STL,,第五軸_轉軸-1;m6-1,座標系統5,axis5,Joint5,revolute,0,0.0671,-0.036,-1.5708,0,-3.1416,Link4,0,0,1,0,0,-3.14,3.14,,,,,,,,
Link6,3.28966953833032E-05,-0.311761303173634,-0.12146386078719,0,0,0,5.52667031461374,0.325455467014091,0.000107387844284919,4.23563408960176E-05,0.0196746763653344,-0.0445528342714575,0.308584695412345,0,0,0,0,0,0,package://single_arm_v11/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://single_arm_v11/meshes/Link6.STL,,,座標系統6,axis6,Joint6,revolute,0,0.069,-0.036,-1.5708,0,0,Link5,0,0,1,0,0,-3.14,3.14,,,,,,,,
