Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00010098,-0.00035109,0.054127,0,0,0,2.94316,0.00082016,3.555E-10,-4.1821E-06,0.00081979,-1.4527E-07,0.00035328,0,0,0,0,0,0,package://single_arm_v22/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v22/meshes/base_link.STL,,組合件1-1/轉接座-1;組合件1-1/定位塊_側-1;組合件1-1/轉接座-3;組合件1-1/m1-1;組合件1-1/定位塊_側-2;組合件1-1/轉接座-2;組合件1-1/轉接座-4;組合件1-1/定位塊_下-1;組合件1-1/轉接座_底-1,pose0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,3.305E-06,0.0036146,0.029085,0,0,0,0.93428,0.00048112,-7.0827E-08,-3.5566E-10,0.00018986,4.1821E-06,0.0004948,0,0,0,0,0,0,package://single_arm_v22/meshes/link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v22/meshes/link1.STL,,第一軸_轉軸-1;m2-1;墊背-1;b2-1,pose1,axis1,joint1,revolute,0,0,0.1445,0,0,0,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
link2,0.17471,2.0582E-07,0.0097884,0,0,0,1.07602,0.00054963,-2.1133E-12,3.6733E-07,0.0010834,-4.2672E-10,0.00082532,0,0,0,0,0,0,package://single_arm_v22/meshes/link2.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v22/meshes/link2.STL,,軸二左V2-1;第二軸_上_改V4-1;軸二右V2-3;軸二左_三角_左-3;軸二左_三角_右-3;軸二左_轉軸座-1;Link1_17.55cm_thick-5;第二軸_轉軸-1;m3-1;墊背-2;b2-2,pose2,axis2,joint2,revolute,0,-0.0684999999999984,0.0315,1.5707963267949,0,0,link1,0,0,1,0,0,-3.14,3.14,,,,,,,,
link3,0.14898,1.9084E-07,-0.006871,0,0,0,1.00039,0.00047701,-1.0214E-11,-1.2577E-06,0.00077795,-9.0438E-10,0.00054702,0,0,0,0,0,0,package://single_arm_v22/meshes/link3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v22/meshes/link3.STL,,軸三右V2-2;第三軸_上_改V3-1;軸三左V2-3;軸三左_三角_左-1;軸三左_轉軸座-2;軸三左_三角_右-2;Link2_14.94cm_thick-7;第三軸_轉軸-2;m4-1,pose3,axis3,joint3,revolute,0.2675,0,-0.0390000000000001,0,0,0,link2,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link4,2.7756E-16,0.01039,0.02404,0,0,0,0.36924,9.4187E-05,1.3079E-19,-1.4502E-16,4.476E-05,5.3346E-07,0.0001027,0,0,0,0,0,0,package://single_arm_v22/meshes/link4.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v22/meshes/link4.STL,,第四軸_轉軸V2-1;m7-1,pose4,axis4,joint4,revolute,0.2324,0,0.0390000000000069,0,0,-3.14159265358979,link3,0,0,1,0,0,-3.14,3.14,,,,,,,,
link5,0.028614,0.010457,-1.6653E-16,0,0,0,0.36821,0.00010133,5.3346E-07,1.4501E-16,4.3878E-05,-9.098E-20,9.3658E-05,0,0,0,0,0,0,package://single_arm_v22/meshes/link5.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v22/meshes/link5.STL,,第五軸_轉軸小-4;m7-2,pose5,axis5,joint5,revolute,0,0.052,0.0286,1.5707963267949,0,1.5707963267949,link4,1,0,0,0,0,-3.14,3.14,,,,,,,,
link6,-4.44089209850063E-16,5.37938091368581E-07,-0.00700006055550945,0,0,0,0.0259770442543706,2.20534281951167E-06,1.78671012311437E-22,-8.79317315621994E-22,2.20534281951168E-06,2.32583060538047E-20,3.9777349014505E-06,0,0,0,0,0,0,package://single_arm_v22/meshes/link6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://single_arm_v22/meshes/link6.STL,,link6-1,pose6,axis6,joint6,revolute,0.0330005379381037,0.0549999394444907,0,1.57079632679488,-1.5707963267949,0,link5,0,0,1,0,0,-3.14,3.14,,,,,,,,
