Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00010098,-0.00035109,0.054127,0,0,0,2.94316,0.00082016,3.555E-10,-4.1821E-06,0.00081979,-1.4527E-07,0.00035328,0,0,0,0,0,0,package://single_arm_v19/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v19/meshes/base_link.STL,,組合件1-1/轉接座-2;組合件1-1/定位塊_側-1;組合件1-1/定位塊_下-1;組合件1-1/轉接座-1;組合件1-1/轉接座-4;組合件1-1/定位塊_側-2;組合件1-1/m1-1;組合件1-1/轉接座-3;組合件1-1/轉接座_底-1,pose0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,3.305E-06,0.0036146,0.029085,0,0,0,0.93428,0.00048112,-7.0827E-08,-3.5566E-10,0.00018986,4.1821E-06,0.0004948,0,0,0,0,0,0,package://single_arm_v19/meshes/link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v19/meshes/link1.STL,,第一軸_轉軸-1;m2-1;墊背-1;b2-1,pose1,axis1,joint1,revolute,0,0,0.1445,0,0,0,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
link2,0.18004,2.4369E-07,0.0061614,0,0,0,1.07602,0.00051784,-2.1135E-12,3.6733E-07,0.00076385,-4.2672E-10,0.00050582,0,0,0,0,0,0,package://single_arm_v19/meshes/link2.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v19/meshes/link2.STL,,軸二左V2-1;第二軸_上_改V4-1;軸二右V2-3;軸二左_三角_左-3;軸二左_三角_右-3;軸二左_轉軸座-1;Link1_17.55cm-1;第二軸_轉軸-1;m3-1;墊背-2;b2-2,pose2,axis2,joint2,revolute,0,-0.0685,0.0315,1.5708,0,0,link1,0,0,1,0,0,-3.14,3.14,,,,,,,,
link3,2.2281E-07,0.15321,0.0030804,0,0,0,1.00039,0.00058978,-1.0211E-11,9.0438E-10,0.000451,1.2577E-06,0.00035885,0,0,0,0,0,0,package://single_arm_v19/meshes/link3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v19/meshes/link3.STL,,軸三右V2-2;第三軸_上_改V3-1;軸三左V2-3;軸三左_三角_右-2;軸三左_三角_左-1;軸三左_轉軸座-2;Link2_14.94cm-2;第三軸_轉軸-2;m4-1,pose3,axis3,joint3,revolute,0.2675,0,-0.039,-3.1416,0,1.5708,link2,0,0,1,0,0,-3.14,3.14,,,,,,,,
link4,-2.2204E-16,-0.01039,0.02404,0,0,0,0.36924,9.4187E-05,1.14E-19,1.4502E-16,4.476E-05,-5.3346E-07,0.0001027,0,0,0,0,0,0,package://single_arm_v19/meshes/link4.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v19/meshes/link4.STL,,第四軸_轉軸V2-1;m7-1,pose4,axis4,joint4,revolute,0,0.2324,-0.039,-3.1416,0,1.5708,link3,0,0,1,0,0,-3.14,3.14,,,,,,,,
link5,-0.010457,-5.5511E-17,0.028614,0,0,0,0.36821,4.3878E-05,-1.0699E-19,-5.3346E-07,9.3658E-05,-1.4501E-16,0.00010133,0,0,0,0,0,0,package://single_arm_v19/meshes/link5.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v19/meshes/link5.STL,,第五軸_轉軸小-4;m7-2,pose5,axis5,joint5,revolute,0,-0.052,0.0286,1.5708,1.5708,0,link4,0,0,1,0,0,-3.14,3.14,,,,,,,,
link6,-5.3794E-07,1.1102E-16,0.0070001,0,0,0,0.025977,2.2053E-06,1.7867E-22,-3.285E-23,2.2053E-06,-9.777E-22,3.9777E-06,0,0,0,0,0,0,package://single_arm_v19/meshes/link6.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v19/meshes/link6.STL,,link6-1,pose6,axis6,joint6,revolute,-0.055,0,0.033001,3.1416,-1.5708,0,link5,0,0,-1,0,0,-3.14,3.14,,,,,,,,
