Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000156250860732343,0.000202963757501833,0.0643974948398569,0,0,0,0.477111748769872,0.000590360417130005,3.55501513767024E-10,4.18207256662998E-06,0.000589971083789895,9.83975740648705E-08,0.000221020393022398,0,0,0,0,0,0,package://single_arm_v12/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single_arm_v12/meshes/base_link.STL,,組合件1-1/轉接座-3;組合件1-1/轉接座-4;組合件1-1/定位塊_側-1;組合件1-1/定位塊_側-2;組合件1-1/轉接座-2;組合件1-1/定位塊_下-1;組合件1-1/轉接座_底-1;組合件1-1/轉接座-1;組合件1-1/m1-1,pose0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,3.44839622268278E-06,0.000398625697735053,0.0287689793053224,0,0,0,0.386131223153925,0.00047431002724688,-7.08270540818844E-08,-3.55559180801277E-10,0.00017465191552395,4.18207766639286E-06,0.000489072616009742,0,0,0,0,0,0,package://single_arm_v12/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://single_arm_v12/meshes/Link1.STL,,m2-1;墊背-1;b2-1;第一軸_轉軸-1,pose1,axis1,Joint1,revolute,0,0,0.1445,0,0,0,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
Link2,0.29289,-0.0006317,0.0089324,0,0,0,0.68686,0.00061348,1.0756E-06,3.5701E-06,0.0020676,-8.2912E-08,0.0018139,0,0,0,0,0,0,package://single_arm_v12/meshes/Link2.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v12/meshes/Link2.STL,,軸二左-1;第二軸_上_改-1;軸二右-1;Link1_40cm-1;第二軸_轉軸-1;m3-1;墊背-2;b2-2,pose2,axis2,Joint2,revolute,0,-0.0685,0.0315,1.5708,0,0,Link1,0,0,1,0,0,-3.14,3.14,,,,,,,,
Link3,0.293727343440639,0.000417642376989547,-0.0108146077958978,0,0,0,0.630198008343518,0.000546352619320372,-8.79478913093369E-07,-3.57003725526669E-06,0.00200340317687267,-8.29116899083369E-08,0.00179626888676536,0,0,0,0,0,0,package://single_arm_v12/meshes/Link3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://single_arm_v12/meshes/Link3.STL,,軸二左-2;第三軸_上_改-1;Link2_40cm-1;軸三左-1;第二軸_轉軸-2;m4-1,pose3,axis3,Joint3,revolute,0.494,0,-0.0325,0,0,0,Link2,0,0,-1,0,0,-3.14,3.14,,,,,,,,
Link4,-2.2204E-16,0.012447,0.030549,0,0,0,0.31385,0.00030905,1.4473E-19,-1.3366E-20,0.00013842,-3.5143E-06,0.00032474,0,0,0,0,0,0,package://single_arm_v12/meshes/Link4.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v12/meshes/Link4.STL,,第五軸_轉軸-2;m5-1,pose4,axis4,Joint4,revolute,0.494,0,0.0325,0,0,3.1416,Link3,0,0,1,0,0,-3.14,3.14,,,,,,,,
Link5,0.0305494763505954,0.0124160882702145,-0.000878959076247465,0,0,0,0.313854171959487,0.000324741574348904,-3.50552519309464E-06,2.48162957481342E-07,0.000139268063164469,1.201945897418E-05,0.000308202861260007,0,0,0,0,0,0,package://single_arm_v12/meshes/Link5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://single_arm_v12/meshes/Link5.STL,,第五軸_轉軸-1;m6-1,pose5,axis5,Joint5,revolute,0,0.0684999999999999,0.0346,1.5707963267949,0,1.5707963267949,Link4,-1,0,0,0,0,-3.14,3.14,,,,,,,,
Link6,-0.474282148873093,0.068873611593725,-0.154887984610123,0,0,0,5.70103597964746,0.0503204120573967,-0.0117928110271336,-0.151490044346827,1.11950099408196,-0.000515936470304746,1.09998620966789,0,0,0,0,0,0,package://single_arm_v12/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://single_arm_v12/meshes/Link6.STL,,,pose6,axis6,Joint6,revolute,0.0346000000000223,0.0683289985903639,-0.00483714292092552,3.14159265358912,1.50012228233503,-1.57079632679559,Link5,0,0,1,0,0,-3.14,3.14,,,,,,,,
