Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00015625,0.00020296,0.064397,0,0,0,0.47711,0.00059036,3.555E-10,4.1821E-06,0.00058997,9.8398E-08,0.00022102,0,0,0,0,0,0,package://single_arm_v12/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://single_arm_v12/meshes/base_link.STL,,組合件1-1/轉接座-3;組合件1-1/轉接座-4;組合件1-1/定位塊_側-1;組合件1-1/定位塊_側-2;組合件1-1/轉接座-2;組合件1-1/定位塊_下-1;組合件1-1/轉接座_底-1;組合件1-1/轉接座-1;組合件1-1/m1-1,pose0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,3.4484E-06,0.00039863,0.028769,0,0,0,0.38613,0.00047431,-7.0827E-08,-3.5556E-10,0.00017465,4.1821E-06,0.00048907,0,0,0,0,0,0,package://single_arm_v12/meshes/Link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://single_arm_v12/meshes/Link1.STL,,m2-1;墊背-1;b2-1;第一軸_轉軸-1,pose1,axis1,Joint1,revolute,0,0,0.1445,0,0,0,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
Link2,0.13568,-0.00070506,0.0057888,0,0,0,0.61539,0.0005945,1.0755E-06,3.5702E-06,0.00064394,-8.2912E-08,0.00039018,0,0,0,0,0,0,package://single_arm_v12/meshes/Link2.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://single_arm_v12/meshes/Link2.STL,,軸二左-1;第二軸_上_改-1;軸二右-1;Link1_12cm-1;第二軸_轉軸-1;m3-1;墊背-2;b2-2,pose2,axis2,Joint2,revolute,0,-0.0685,0.0315,1.5708,0,0,Link1,0,0,1,0,0,-3.14,3.14,,,,,,,,
Link3,0.135406483957112,0.000471066373987292,-0.00759294057285472,0,0,0,0.558726771182515,0.000527368072379024,-8.79483327326058E-07,-3.57015353375444E-06,0.000579703994248901,-8.29116899084273E-08,0.000372569704142056,0,0,0,0,0,0,package://single_arm_v12/meshes/Link3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://single_arm_v12/meshes/Link3.STL,,軸二左-2;第三軸_上_改-1;Link2_12cm-1;軸三左-1;第二軸_轉軸-2;m4-1,pose3,axis3,Joint3,revolute,0.214,0,-0.0325,0,0,0,Link2,0,0,-1,0,0,-3.14,3.14,,,,,,,,
Link4,-1.11022302462516E-16,0.0124471610012716,0.0305494763505743,0,0,0,0.313854171959486,0.00030905374217572,2.20104937481116E-19,1.99389141092033E-20,0.000138417182248756,-3.51429818496687E-06,0.000324741574348905,0,0,0,0,0,0,package://single_arm_v12/meshes/Link4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://single_arm_v12/meshes/Link4.STL,,第五軸_轉軸-2;m5-1,pose4,axis4,Joint4,revolute,0.214,0,0.0325,0,0,3.1416,Link3,0,0,1,0,0,-3.14,3.14,,,,,,,,
Link5,0.0305494763505902,0.0124160882702156,-0.000878959076247798,0,0,0,0.313854171959487,0.000324741574348905,-3.50552519309465E-06,2.48162957481373E-07,0.000139268063164469,1.20194589741801E-05,0.000308202861260008,0,0,0,0,0,0,package://single_arm_v12/meshes/Link5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://single_arm_v12/meshes/Link5.STL,,第五軸_轉軸-1;m6-1,pose5,axis5,Joint5,revolute,0,0.0685,0.0346,1.5708,0,1.5708,Link4,-1,0,0,0,0,-3.14,3.14,,,,,,,,
Link6,-0.20184,0.067993,-0.13565,0,0,0,5.5581,0.039288,-0.0053509,-0.046451,0.22224,-5.0688E-05,0.21337,0,0,0,0,0,0,package://single_arm_v12/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://single_arm_v12/meshes/Link6.STL,,,pose6,axis6,Joint6,revolute,0.0346,0.068329,-0.0048371,3.1416,1.5001,-1.5708,Link5,0,0,1,0,0,-3.14,3.14,,,,,,,,
